NO.,STATION,NAME,DATE,AWND(avg wind speed),PRCP(precipitation),SNOW(snowfall),TAVG(temprature avg),WDF2,WSF2,WT01,WT02,WT03,WT04,WT05,WT06,WT08,WT09,WT13,WT14,WT15,WT16,WT17,WT18,WT19,WT22,YYYY,Date,Var.28,Tm,home,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak,Orig. Scheduled
1672,USW00014739,"BOSTON, MA US",9/27/14,5.37,0,0,69,320,10.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014,"Saturday, Sep 27,2014",boxscore,BOS,,NYY,W,10,4,,71-90,5,24,Kelly,Tanaka,,03:04,D,37147,+,
1681,USW00014739,"BOSTON, MA US",9/28/14,4.92,0,0,71,240,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014,"Sunday, Sep 28,2014",boxscore,BOS,,NYY,L,5,9,,71-91,5,25,Pineda,Buchholz,,03:14,D,36879,-,
714,USW00014739,"BOSTON, MA US",4/13/15,12.3,0,0,56,220,23.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,"Monday, Apr 13,2015",boxscore,BOS,,WSN,W,9,4,,2-May,1,up 1.0,Porcello,Zimmermann,,03:01,D,37203,+,
813,USW00014739,"BOSTON, MA US",4/14/15,10.96,0.01,0,59,230,25.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,"Tuesday, Apr 14,2015",boxscore,BOS,,WSN,W,8,7,,2-Jun,1,up 1.0,Mujica,Treinen,Uehara,03:23,N,35258,++,
914,USW00014739,"BOSTON, MA US",4/15/15,11.63,0,0,59,330,25.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,"Wednesday, Apr 15,2015",boxscore,BOS,,WSN,L,5,10,,3-Jun,1,up 1.0,Gonzalez,Miley,,03:08,D,33493,-,
1014,USW00014739,"BOSTON, MA US",4/17/15,13.2,0.06,0,54,220,21.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,"Friday, Apr 17,2015",boxscore,BOS,,BAL,W-wo,3,2,,3-Jul,1,up 1.5,Uehara,Matusz,,03:13,N,34341,+,
1114,USW00014739,"BOSTON, MA US",4/18/15,8.72,0,0,54,10,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,"Saturday, Apr 18,2015",boxscore,BOS,,BAL,L,1,4,,4-Jul,1,up 1.0,Tillman,Buchholz,Britton,03:24,D,37655,-,
1214,USW00014739,"BOSTON, MA US",4/19/15,11.41,0,0,46,110,18.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,"Sunday, Apr 19,2015",boxscore,BOS,,BAL,L,3,8,,5-Jul,1,Tied,Gonzalez,Porcello,,03:14,D,37761,--,
1314,USW00014739,"BOSTON, MA US",4/20/15,13.87,0.61,0,43,140,25.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,"Monday, Apr 20,2015",boxscore,BOS,,BAL,W,7,1,7,5-Aug,1,up 1.0,Masterson,Chen,,02:21,D,36829,+,
203,USW00014739,"BOSTON, MA US",4/27/15,11.41,0.1,0,51,320,21.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,"Monday, Apr 27,2015",boxscore,BOS,,TOR,W-wo,6,5,,9-Nov,2,1,Uehara,Castro,,02:48,N,34739,+,
214,USW00014739,"BOSTON, MA US",4/28/15,14.32,0.07,0,49,40,25.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,"Tuesday, Apr 28,2015",boxscore,BOS,,TOR,L,8,11,,10-Nov,2,2,Estrada,Buchholz,Cecil,04:01,N,33920,-,
223,USW00014739,"BOSTON, MA US",4/29/15,8.72,0,0,52,80,16.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,"Wednesday, Apr 29,2015",boxscore,BOS,,TOR,W,4,1,,10-Dec,2,1,Porcello,Dickey,Uehara,02:43,N,34220,+,
243,USW00014739,"BOSTON, MA US",5/1/15,7.83,0,0,45,90,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,"Friday, May 1,2015",boxscore,BOS,,NYY,L,2,3,,11-Dec,3,2,Rogers,Tazawa,Miller,03:14,N,35444,-,
253,USW00014739,"BOSTON, MA US",5/2/15,6.93,0,0,43,100,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,"Saturday, May 2,2015",boxscore,BOS,,NYY,L,2,4,,12-Dec,3,3,Eovaldi,Miley,Betances,02:44,D,36611,--,
263,USW00014739,"BOSTON, MA US",5/3/15,8.5,0,0,53,210,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,"Sunday, May 3,2015",boxscore,BOS,,NYY,L,5,8,,13-Dec,4,4,Warren,Kelly,Miller,03:52,N,33198,---,
272,USW00014739,"BOSTON, MA US",5/4/15,13.2,0,0,63,220,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,"Monday, May 4,2015",boxscore,BOS,,TBR,L,1,5,,14-Dec,5,4,Odorizzi,Buchholz,,03:10,N,34541,----,
283,USW00014739,"BOSTON, MA US",5/5/15,9.62,0.02,0,66,100,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,"Tuesday, May 5,2015",boxscore,BOS,,TBR,W,2,0,,13-14,4,4,Porcello,Smyly,Uehara,02:26,N,33688,+,
292,USW00014739,"BOSTON, MA US",5/6/15,9.4,0,0,61,220,19.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,"Wednesday, May 6,2015",boxscore,BOS,,TBR,L,3,5,,13-15,5,4,Colome,Masterson,Boxberger,03:22,N,35060,-,
403,USW00014739,"BOSTON, MA US",5/19/15,9.84,0.27,0,56,230,16.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,"Tuesday, May 19,2015",boxscore,BOS,,TEX,W,4,3,,19-20,3,2.5,Miley,Gallardo,Uehara,02:50,N,36580,+,
415,USW00014739,"BOSTON, MA US",5/20/15,13.87,0,0,61,300,25.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,"Wednesday, May 20,2015",boxscore,BOS,,TEX,L,1,2,,19-21,3,2.5,Klein,Kelly,Tolleson,03:13,N,35726,-,
423,USW00014739,"BOSTON, MA US",5/21/15,9.62,0,0,57,200,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,"Thursday, May 21,2015",boxscore,BOS,,TEX,L,1,3,,19-22,4,3.5,Rodriguez,Buchholz,Tolleson,02:49,N,34945,--,
433,USW00014739,"BOSTON, MA US",5/22/15,12.97,0,0,62,260,25.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,"Friday, May 22,2015",boxscore,BOS,,LAA,L,5,12,,19-23,4,4.5,Richards,Porcello,,03:35,N,36150,---,
443,USW00014739,"BOSTON, MA US",5/23/15,13.2,0,0,56,260,19.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,"Saturday, May 23,2015",boxscore,BOS,,LAA,W,8,3,,20-23,4,3.5,Wright,Wilson,,03:09,N,37735,+,
453,USW00014739,"BOSTON, MA US",5/24/15,15.66,0,0,65,230,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,"Sunday, May 24,2015",boxscore,BOS,,LAA,W,6,1,,21-23,3,2.5,Miley,Santiago,,02:37,D,37742,++,
543,USW00014739,"BOSTON, MA US",6/2/15,11.18,0.74,0,47,40,19.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,"Tuesday, Jun 2,2015",boxscore,BOS,,MIN,W,1,0,,23-29,4,4.5,Buchholz,Pelfrey,Uehara,02:21,N,32622,+,
553,USW00014739,"BOSTON, MA US",6/3/15,6.93,0,0,50,100,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,"Wednesday, Jun 3 (1),2015",boxscore,BOS,,MIN,W,6,3,,24-29,4,5,Rodriguez,Hughes,,02:33,D,31704,++,
563,USW00014739,"BOSTON, MA US",6/3/15,6.93,0,0,50,100,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,"Wednesday, Jun 3 (2),2015",boxscore,BOS,,MIN,L,0,2,,24-30,4,5,May,Porcello,Perkins,02:15,N,33291,-,2015-06-01 (Rain)
573,USW00014739,"BOSTON, MA US",6/4/15,6.26,0,0,52,100,16.1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2015,"Thursday, Jun 4,2015",boxscore,BOS,,MIN,L,4,8,,24-31,5,5.5,Thompson,Uehara,,03:12,D,33615,--,
581,USW00014739,"BOSTON, MA US",6/5/15,7.61,0,0,54,110,19.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,"Friday, Jun 5,2015",boxscore,BOS,,OAK,W,4,2,,25-31,5,5.5,Miley,Kazmir,Uehara,02:31,N,34910,+,
593,USW00014739,"BOSTON, MA US",6/6/15,6.93,0.09,0,58,40,19.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,"Saturday, Jun 6,2015",boxscore,BOS,,OAK,W,4,2,,26-31,4,5.5,Kelly,Chavez,Uehara,03:10,D,36713,++,
603,USW00014739,"BOSTON, MA US",6/7/15,10.74,0,0,59,110,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,"Sunday, Jun 7,2015",boxscore,BOS,,OAK,W,7,4,,27-31,4,5.5,Wright,Clippard,Layne,03:11,D,36913,+++,
643,USW00014739,"BOSTON, MA US",6/12/15,8.95,0,0,74,110,18.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,"Friday, Jun 12,2015",boxscore,BOS,,TOR,L,10,13,,27-35,5,7,Delabar,Tazawa,Cecil,03:24,N,37575,----,
653,USW00014739,"BOSTON, MA US",6/13/15,8.5,0,0,73,330,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,"Saturday, Jun 13,2015",boxscore,BOS,,TOR,L,4,5,11,27-36,5,7,Loup,Barnes,Cecil,03:26,D,37158,-----,
663,USW00014739,"BOSTON, MA US",6/14/15,9.62,0,0,70,100,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,"Sunday, Jun 14,2015",boxscore,BOS,,TOR,L,5,13,,27-37,5,8,Estrada,Rodriguez,,03:12,D,36296,------,
673,USW00014739,"BOSTON, MA US",6/15/15,9.17,0.4,0,58,110,21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,"Monday, Jun 15,2015",boxscore,BOS,,ATL,L,2,4,,27-38,5,9,Perez,Porcello,Grilli,02:54,N,34439,-------,
683,USW00014739,"BOSTON, MA US",6/16/15,4.7,0,0,59,300,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,"Tuesday, Jun 16,2015",boxscore,BOS,,ATL,W,9,4,,28-38,5,8,Miley,Teheran,,02:38,D,35662,+,
743,USW00014739,"BOSTON, MA US",6/23/15,11.41,0.01,0,72,220,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,"Tuesday, Jun 23,2015",boxscore,BOS,,BAL,L,4,6,,31-41,5,9.5,Jimenez,Kelly,Britton,03:08,N,36508,-,
753,USW00014739,"BOSTON, MA US",6/24/15,11.18,0,0,76,340,19.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,"Wednesday, Jun 24,2015",boxscore,BOS,,BAL,W,5,1,,32-41,5,8.5,Buchholz,Norris,,02:38,N,37762,+,
763,USW00014739,"BOSTON, MA US",6/25/15,7.16,0,0,73,270,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,"Thursday, Jun 25,2015",boxscore,BOS,,BAL,L,6,8,,32-42,5,9,Gonzalez,Rodriguez,Britton,03:06,D,37706,-,
853,USW00014739,"BOSTON, MA US",7/3/15,8.5,0,0,71,110,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,"Friday, Jul 3,2015",boxscore,BOS,,HOU,L,8,12,10,37-45,5,7,Hernandez,Ramirez,,04:23,N,37837,-,
863,USW00014739,"BOSTON, MA US",7/4/15,4.47,0,0,67,80,10.1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2015,"Saturday, Jul 4,2015",boxscore,BOS,,HOU,W,6,1,,38-45,5,7,Buchholz,McHugh,,03:02,D,36703,+,
871,USW00014739,"BOSTON, MA US",7/5/15,8.05,0,0,71,230,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,"Sunday, Jul 5,2015",boxscore,BOS,,HOU,W,5,4,,39-45,5,6,Barnes,Sipp,Uehara,04:01,D,36481,++,
883,USW00014739,"BOSTON, MA US",7/7/15,10.51,0.02,0,74,190,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,"Tuesday, Jul 7,2015",boxscore,BOS,,MIA,W,4,3,,40-45,5,5,Tazawa,Cishek,Uehara,02:44,N,36863,+++,
893,USW00014739,"BOSTON, MA US",7/8/15,11.18,0,0,79,240,19.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,"Wednesday, Jul 8,2015",boxscore,BOS,,MIA,W,6,3,,41-45,5,5,Porcello,Koehler,Uehara,02:41,N,37009,++++,
903,USW00014739,"BOSTON, MA US",7/10/15,7.61,1.12,0,67,100,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,"Friday, Jul 10,2015",boxscore,BOS,,NYY,L,1,5,,41-46,5,6.5,Pineda,Buchholz,,03:03,N,37984,-,
915,USW00014739,"BOSTON, MA US",7/11/15,8.5,0,0,75,310,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,"Saturday, Jul 11,2015",boxscore,BOS,,NYY,W,5,3,,42-46,5,5.5,Rodriguez,Nova,Uehara,03:10,N,38047,+,
923,USW00014739,"BOSTON, MA US",7/12/15,8.95,0,0,80,220,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,"Sunday, Jul 12,2015",boxscore,BOS,,NYY,L,6,8,,42-47,5,6.5,Eovaldi,Miley,,03:36,D,37283,-,
1003,USW00014739,"BOSTON, MA US",7/24/15,8.72,0.01,0,72,350,19.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,"Friday, Jul 24,2015",boxscore,BOS,,DET,W-wo,2,1,11,43-54,5,11,Masterson,Hardy,,03:42,N,37650,+,
1015,USW00014739,"BOSTON, MA US",7/25/15,8.72,0,0,66,80,16.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,"Saturday, Jul 25,2015",boxscore,BOS,,DET,L,1,5,,43-55,5,12,Simon,Wright,,02:57,D,37256,-,
1023,USW00014739,"BOSTON, MA US",7/26/15,8.28,0,0,68,200,14.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,"Sunday, Jul 26,2015",boxscore,BOS,,DET,W,11,1,,44-55,5,12,Rodriguez,Greene,,03:14,N,35582,+,
1033,USW00014739,"BOSTON, MA US",7/27/15,8.05,0.06,0,75,190,18.1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2015,"Monday, Jul 27,2015",boxscore,BOS,,CHW,L,8,10,,44-56,5,13,Albers,Ross,Robertson,03:54,N,37401,-,
1043,USW00014739,"BOSTON, MA US",7/28/15,8.05,0,0,75,70,16.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,"Tuesday, Jul 28,2015",boxscore,BOS,,CHW,L,4,9,,44-57,5,14,Samardzija,Miley,,02:39,N,38063,--,
1053,USW00014739,"BOSTON, MA US",7/29/15,7.38,0,0,80,240,16.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,"Wednesday, Jul 29,2015",boxscore,BOS,,CHW,L,2,9,,44-58,5,14,Quintana,Porcello,,03:42,N,37104,---,
1063,USW00014739,"BOSTON, MA US",7/30/15,14.32,0.02,0,83,220,25.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,"Thursday, Jul 30,2015",boxscore,BOS,,CHW,W,8,2,,45-58,5,13,Wright,Sale,,02:40,N,36215,+,
1073,USW00014739,"BOSTON, MA US",7/31/15,11.18,0,0,80,240,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,"Friday, Jul 31,2015",boxscore,BOS,,TBR,W,7,5,,46-58,5,13,Tazawa,McGee,Uehara,03:13,N,36715,++,
1093,USW00014739,"BOSTON, MA US",8/1/15,10.51,0,0,79,290,25.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,"Saturday, Aug 1,2015",boxscore,BOS,,TBR,W,11,7,,47-58,5,12,Kelly,Moore,Machi,03:39,D,35944,+++,
1103,USW00014739,"BOSTON, MA US",8/2/15,11.41,0,0,78,230,19.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,"Sunday, Aug 2,2015",boxscore,BOS,,TBR,L,3,4,,47-59,5,13,Geltz,Tazawa,Boxberger,03:10,D,35699,-,
1193,USW00014739,"BOSTON, MA US",8/14/15,9.17,0,0,75,190,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,"Friday, Aug 14,2015",boxscore,BOS,,SEA,W,15,1,,51-64,5,12.5,Kelly,Montgomery,,03:30,N,37678,+,
1203,USW00014739,"BOSTON, MA US",8/15/15,7.61,0.08,0,76,260,19.9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,"Saturday, Aug 15,2015",boxscore,BOS,,SEA,W,22,10,,52-64,5,12.5,Miley,Hernandez,,03:21,D,36027,++,
1215,USW00014739,"BOSTON, MA US",8/16/15,6.71,0,0,75,100,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,"Sunday, Aug 16,2015",boxscore,BOS,,SEA,L,8,10,12,52-65,5,12.5,Rasmussen,Breslow,Farquhar,04:24,D,35260,-,
1223,USW00014739,"BOSTON, MA US",8/17/15,7.83,0,0,80,110,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,"Monday, Aug 17,2015",boxscore,BOS,,CLE,L,2,8,,52-66,5,13.5,Salazar,Barnes,,03:12,N,32701,--,
1233,USW00014739,"BOSTON, MA US",8/18/15,8.05,0.14,0,78,250,29.1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2015,"Tuesday, Aug 18,2015",boxscore,BOS,,CLE,W,9,1,,53-66,5,13.5,Rodriguez,Bauer,,02:56,N,31907,+,
1243,USW00014739,"BOSTON, MA US",8/19/15,8.72,0,0,78,180,18.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,"Wednesday, Aug 19,2015",boxscore,BOS,,CLE,W,6,4,,54-66,5,13.5,Kelly,Kluber,Tazawa,03:09,N,32465,++,
1253,USW00014739,"BOSTON, MA US",8/20/15,10.74,0,0,73,90,21.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,"Thursday, Aug 20,2015",boxscore,BOS,,KCR,W,4,1,,55-66,5,12.5,Miley,Duffy,Tazawa,02:49,N,35458,+++,
1263,USW00014739,"BOSTON, MA US",8/21/15,5.82,0.63,0,72,330,14.1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2015,"Friday, Aug 21,2015",boxscore,BOS,,KCR,W,7,2,,56-66,5,11.5,Owens,Cueto,,02:31,N,35203,++++,
1273,USW00014739,"BOSTON, MA US",8/22/15,6.93,0,0,71,40,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,"Saturday, Aug 22,2015",boxscore,BOS,,KCR,L,3,6,,56-67,5,12.5,Ventura,Barnes,Holland,03:29,N,37135,-,
1283,USW00014739,"BOSTON, MA US",8/23/15,8.05,0.02,0,68,50,14.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,"Sunday, Aug 23,2015",boxscore,BOS,,KCR,L,6,8,,56-68,5,13,Young,Tazawa,Davis,03:40,D,36151,--,
1353,USW00014739,"BOSTON, MA US",8/31/15,11.18,0,0,80,280,21.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,"Monday, Aug 31,2015",boxscore,BOS,,NYY,W,4,3,,61-70,5,13,Rodriguez,Nova,Machi,03:44,N,36148,+,
1373,USW00014739,"BOSTON, MA US",9/1/15,9.4,0,0,76,100,16.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,"Tuesday, Sep 1,2015",boxscore,BOS,,NYY,L,1,3,,61-71,5,14,Pineda,Porcello,Miller,02:41,N,35077,-,
1382,USW00014739,"BOSTON, MA US",9/2/15,9.17,0,0,77,250,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,"Wednesday, Sep 2,2015",boxscore,BOS,,NYY,L,8,13,,61-72,5,15,Tanaka,Owens,,03:33,D,34416,--,
1393,USW00014739,"BOSTON, MA US",9/4/15,10.74,0,0,69,40,23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,"Friday, Sep 4,2015",boxscore,BOS,,PHI,W,7,5,,62-72,5,14,Kelly,Morgan,Ross,03:22,N,33674,+,
1403,USW00014739,"BOSTON, MA US",9/5/15,7.16,0,0,65,110,14.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,"Saturday, Sep 5,2015",boxscore,BOS,,PHI,W,9,2,,63-72,5,14,Miley,Asher,,02:24,D,36534,++,
1415,USW00014739,"BOSTON, MA US",9/6/15,9.62,0,0,70,190,18.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,"Sunday, Sep 6,2015",boxscore,BOS,,PHI,W,6,2,,64-72,5,14,Rodriguez,Eickhoff,,02:57,D,34708,+++,
1421,USW00014739,"BOSTON, MA US",9/7/15,11.86,0,0,77,240,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,"Monday, Sep 7,2015",boxscore,BOS,,TOR,W,11,4,,65-72,4,13,Porcello,Buehrle,,02:48,D,33659,++++,
1433,USW00014739,"BOSTON, MA US",9/8/15,7.38,0.2,0,81,50,21,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2015,"Tuesday, Sep 8,2015",boxscore,BOS,,TOR,L,1,5,10,65-73,5,14,Sanchez,Ogando,,03:23,N,33432,-,
1443,USW00014739,"BOSTON, MA US",9/9/15,12.75,0,0,80,200,21.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,"Wednesday, Sep 9,2015",boxscore,BOS,,TOR,W,10,4,,66-73,5,13,Kelly,Hutchison,,03:31,N,34464,+,
1543,USW00014739,"BOSTON, MA US",9/21/15,10.74,0,0,60,30,19.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,"Monday, Sep 21,2015",boxscore,BOS,,TBR,W,8,7,,72-77,4,13.5,Machi,Gomes,Ross,03:47,N,33673,+++,
1553,USW00014739,"BOSTON, MA US",9/22/15,9.4,0,0,63,70,16.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,"Tuesday, Sep 22,2015",boxscore,BOS,,TBR,L,2,5,,72-78,5,13.5,Moore,Owens,Boxberger,02:43,N,33673,-,
1563,USW00014739,"BOSTON, MA US",9/23/15,5.59,0,0,61,140,10.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,"Wednesday, Sep 23,2015",boxscore,BOS,,TBR,L,2,6,,72-79,5,14.5,Smyly,Porcello,Boxberger,03:30,N,32753,--,
1573,USW00014739,"BOSTON, MA US",9/24/15,8.5,0,0,65,70,16.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,"Thursday, Sep 24,2015",boxscore,BOS,,TBR,L,2,4,,72-80,5,15,Ramirez,Miley,Boxberger,02:39,N,34916,---,
1583,USW00014739,"BOSTON, MA US",9/25/15,8.72,0,0,61,60,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,"Friday, Sep 25,2015",boxscore,BOS,,BAL,W,7,0,,73-80,5,15,Hill,Gausman,,02:42,N,32411,+,
1593,USW00014739,"BOSTON, MA US",9/26/15,9.62,0,0,58,30,19.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,"Saturday, Sep 26,2015",boxscore,BOS,,BAL,W,8,0,,74-80,5,15,Hembree,Chen,,02:56,D,36316,++,
